10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
252.85%;-81.32%;27.37%;-0.872;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.5}
252.84%;-81.33%;18.15%;-0.495;{'roe': 0.5, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
252.53%;-81.64%;21.66%;-1.359;{'roe': 0.3, 'fcfy': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
252.52%;-81.66%;24.27%;-1.799;{'fcfy': 0.7, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
252.51%;-81.67%;23.39%;-0.436;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
252.01%;-82.17%;22.99%;-1.464;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
251.94%;-82.24%;20.40%;-1.375;{'roe': 0.3, 'dividend_yield': 0.7}
251.92%;-82.26%;23.73%;-1.041;{'roe': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.6}
251.75%;-82.42%;23.84%;-1;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
251.71%;-82.47%;26.82%;-0.706;{'roe': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
251.45%;-82.73%;23.25%;-0.796;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
251.45%;-82.73%;30.23%;-0.712;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.5}
251.40%;-82.77%;21.84%;-1.527;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
251.40%;-82.78%;22.76%;-1.716;{'roe': 0.4, 'fcfy': 0.5, 'revenue_growth': 0.1}
251.34%;-82.84%;28.85%;-0.684;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
251.22%;-82.96%;19.76%;-0.64;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
251.21%;-82.96%;24.47%;-0.784;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
251.12%;-83.06%;30.30%;-0.647;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
251.08%;-83.10%;19.74%;-0.36;{'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.5}
251.02%;-83.15%;29.60%;-0.761;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
250.89%;-83.28%;19.06%;-1.601;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
250.86%;-83.31%;20.05%;-0.172;{'fcfy': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
250.58%;-83.59%;19.73%;-0.79;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
250.46%;-83.72%;20.12%;-0.333;{'roe': 0.9, 'roic_wacc': 0.1}
250.24%;-83.93%;19.45%;-0.074;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
250.14%;-84.03%;22.74%;-1.046;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
249.87%;-84.31%;20.01%;-1.886;{'roe': 0.6, 'fcfy': 0.4}
249.86%;-84.32%;19.98%;-0.539;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
249.70%;-84.47%;26.11%;-0.427;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
249.54%;-84.64%;19.24%;-1.02;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
249.27%;-84.90%;21.12%;-1.675;{'roe': 0.4, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
249.11%;-85.07%;18.29%;-0.369;{'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.4}
249.06%;-85.12%;19.21%;-1.397;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.4}
248.59%;-85.59%;20.18%;-0.697;{'roe': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
248.46%;-85.71%;20.93%;-0.263;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
248.43%;-85.74%;29.60%;-0.686;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
248.31%;-85.86%;19.97%;-0.06;{'roe': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
248.30%;-85.88%;19.09%;-0.075;{'roe': 0.8, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
248.18%;-85.99%;24.12%;-1.288;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
248.02%;-86.16%;18.12%;-1.566;{'roe': 0.6, 'fcfy': 0.3, 'dividend_yield': 0.1}
248.01%;-86.16%;23.05%;-0.502;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
247.65%;-86.53%;27.91%;-0.816;{'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
247.65%;-86.53%;20.88%;-0.503;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
247.60%;-86.57%;21.28%;-1.166;{'roe': 0.4, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
247.50%;-86.68%;18.38%;-0.73;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
247.45%;-86.72%;21.59%;-1.602;{'roe': 0.5, 'fcfy': 0.5}
247.28%;-86.89%;18.60%;-1.125;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
247.23%;-86.94%;19.73%;0.348;{'roe': 0.2, 'roic_wacc': 0.8}
247.16%;-87.02%;31.49%;-0.594;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
247.10%;-87.08%;18.84%;-0.313;{'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.6}
246.97%;-87.20%;19.69%;0.056;{'roe': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
246.65%;-87.53%;19.60%;-0.782;{'roe': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.5}
246.55%;-87.63%;22.98%;-0.042;{'roe': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
246.54%;-87.64%;23.40%;-0.252;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
246.34%;-87.84%;20.02%;-0.745;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
246.20%;-87.98%;20.13%;-0.421;{'roe': 0.8, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
246.19%;-87.99%;20.15%;-0.898;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
246.18%;-87.99%;19.61%;-0.144;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.6}
246.12%;-88.05%;22.48%;-1.395;{'roe': 0.3, 'fcfy': 0.6, 'dividend_yield': 0.1}
246.08%;-88.10%;20.59%;-1.509;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.2}
245.98%;-88.19%;19.54%;-0.166;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
245.92%;-88.26%;28.77%;-0.589;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
245.87%;-88.31%;24.63%;-0.023;{'roe': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.6}
245.58%;-88.60%;20.76%;-0.282;{'roe': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
245.42%;-88.76%;23.16%;-0.859;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
245.15%;-89.03%;25.97%;-1.129;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
245.03%;-89.15%;21.59%;-1.084;{'fcfy': 0.5, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
244.93%;-89.25%;19.21%;-0.805;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
244.89%;-89.28%;21.29%;-2.028;{'roe': 0.3, 'fcfy': 0.5, 'dividend_yield': 0.2}
244.50%;-89.67%;19.49%;-0.975;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
244.37%;-89.80%;19.74%;-1.112;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
243.81%;-90.36%;29.29%;-0.567;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
243.75%;-90.42%;22.07%;-1.53;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
243.72%;-90.45%;19.69%;-0.225;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
243.70%;-90.48%;20.90%;-0.042;{'roe': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.2}
243.59%;-90.58%;27.07%;-1.324;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
243.52%;-90.66%;22.57%;-2.123;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
243.44%;-90.74%;16.87%;-0.917;{'roe': 0.5, 'dividend_yield': 0.5}
243.42%;-90.76%;16.85%;-0.632;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
243.36%;-90.81%;19.78%;-1.051;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
243.14%;-91.03%;22.47%;-1;{'fcfy': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.5}
242.73%;-91.45%;21.95%;-1.675;{'roe': 0.2, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
242.70%;-91.48%;21.63%;-0.357;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
242.63%;-91.55%;21.05%;-1.164;{'roe': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
242.62%;-91.55%;27.46%;-0.531;{'roic_wacc': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.3}
242.49%;-91.68%;25.81%;-1.038;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
242.47%;-91.70%;20.15%;-0.185;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
242.37%;-91.81%;22.93%;-0.453;{'roe': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
242.29%;-91.88%;22.95%;-0.834;{'fcfy': 0.4, 'roic_wacc': 0.2, 'dividend_yield': 0.4}
241.73%;-92.44%;25.00%;-1.719;{'fcfy': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
241.73%;-92.45%;17.29%;-0.126;{'roe': 0.8, 'dividend_yield': 0.2}
241.62%;-92.55%;22.32%;-0.909;{'revenue_growth': 0.1, 'dividend_yield': 0.9}
241.42%;-92.75%;19.78%;-0.775;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
241.36%;-92.82%;17.05%;-0.457;{'roe': 0.7, 'fcfy': 0.3}
241.34%;-92.84%;27.09%;-1.064;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
241.15%;-93.02%;19.73%;-1.259;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
240.83%;-93.35%;21.97%;0.128;{'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
240.81%;-93.37%;19.31%;-0.221;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
240.56%;-93.62%;23.94%;0.141;{'roe': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
240.47%;-93.70%;17.40%;-0.36;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
240.46%;-93.72%;21.42%;-1.163;{'fcfy': 0.6, 'roic_wacc': 0.3, 'dividend_yield': 0.1}
240.09%;-94.09%;20.27%;-0.068;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
240.02%;-94.15%;20.69%;-1.552;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
239.92%;-94.26%;21.30%;0.011;{'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
239.71%;-94.46%;29.55%;-1.879;{'fcfy': 0.7, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
239.59%;-94.59%;19.94%;-1.184;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.5}
239.54%;-94.64%;22.90%;-0.827;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
239.42%;-94.76%;23.27%;-0.725;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
239.08%;-95.10%;20.45%;-0.381;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
239.07%;-95.11%;28.96%;-0.641;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
238.79%;-95.38%;21.37%;-1.637;{'roe': 0.4, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
238.79%;-95.39%;19.44%;-0.959;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
238.70%;-95.47%;22.92%;-1.459;{'roe': 0.2, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
238.70%;-95.48%;18.70%;-0.788;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
238.67%;-95.50%;20.16%;-1.165;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
238.55%;-95.63%;25.31%;-0.478;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
238.53%;-95.64%;23.57%;-0.443;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
238.30%;-95.88%;21.91%;-1.716;{'roe': 0.3, 'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
238.26%;-95.92%;19.91%;-1.303;{'roe': 0.4, 'fcfy': 0.4, 'dividend_yield': 0.2}
238.18%;-96.00%;20.06%;-0.83;{'fcfy': 0.4, 'roic_wacc': 0.6}
238.18%;-96.00%;22.32%;-0.366;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
238.17%;-96.01%;24.45%;-1.034;{'roe': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
238.16%;-96.01%;23.65%;-0.725;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
238.12%;-96.05%;21.37%;-0.549;{'roe': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
238.10%;-96.07%;22.57%;-0.619;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
237.78%;-96.39%;19.03%;-0.307;{'roe': 0.7, 'fcfy': 0.2, 'revenue_growth': 0.1}
237.77%;-96.41%;19.04%;-0.77;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.4}
237.73%;-96.44%;17.87%;-1.399;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
237.70%;-96.48%;29.32%;-0.851;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
237.48%;-96.70%;20.46%;-0.73;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
237.46%;-96.72%;22.40%;-2.028;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
237.37%;-96.81%;27.01%;-1.154;{'fcfy': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
237.28%;-96.90%;23.01%;-0.946;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
237.24%;-96.93%;19.20%;-1.069;{'roe': 0.1, 'roic_wacc': 0.2, 'dividend_yield': 0.7}
236.93%;-97.24%;22.78%;-0.65;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
236.92%;-97.25%;21.79%;-1.16;{'roe': 0.4, 'fcfy': 0.5, 'dividend_yield': 0.1}
236.89%;-97.29%;19.45%;-0.903;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
236.78%;-97.40%;27.03%;0.016;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.4}
236.75%;-97.43%;21.57%;-1.659;{'roe': 0.3, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1}
236.55%;-97.62%;18.07%;-0.932;{'fcfy': 0.1, 'roic_wacc': 0.6, 'dividend_yield': 0.3}
236.45%;-97.73%;19.41%;-1.018;{'roe': 0.7, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
236.44%;-97.73%;20.76%;-1.334;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
236.42%;-97.75%;21.87%;-0.713;{'roe': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
236.31%;-97.86%;22.36%;-0.739;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
236.25%;-97.93%;19.97%;-1.22;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.5}
236.20%;-97.98%;19.32%;-1.017;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.2}
235.41%;-98.77%;20.75%;-1.826;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
234.99%;-99.19%;19.70%;-0.619;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
234.72%;-99.45%;23.11%;-0.192;{'roe': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
234.71%;-99.46%;24.76%;-1.609;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
234.57%;-99.60%;26.57%;-1.052;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
234.51%;-99.67%;18.86%;-0.665;{'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
234.45%;-99.72%;19.61%;0.045;{'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
234.42%;-99.76%;30.56%;-0.87;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.5}
234.19%;-99.99%;19.54%;-0.935;{'roe': 0.5, 'fcfy': 0.3, 'roic_wacc': 0.2}
234.08%;-100.10%;17.92%;-0.657;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.5}
233.75%;-100.42%;23.61%;-1.117;{'roe': 0.7, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
233.49%;-100.69%;18.75%;-1.058;{'roe': 0.4, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
233.38%;-100.79%;21.72%;-0.717;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.4}
233.08%;-101.10%;20.68%;-0.993;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
233.05%;-101.13%;21.35%;-0.34;{'roe': 0.5, 'fcfy': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
232.83%;-101.34%;19.75%;-0.495;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
232.72%;-101.45%;23.23%;-0.475;{'roe': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
232.68%;-101.50%;21.94%;-0.583;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.4}
232.67%;-101.50%;20.97%;-0.284;{'roe': 0.6, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
232.66%;-101.51%;20.75%;0.135;{'roic_wacc': 0.4, 'dividend_yield': 0.6}
232.13%;-102.04%;22.44%;-0.882;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
232.00%;-102.18%;21.03%;-0.823;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
231.94%;-102.24%;22.29%;-0.656;{'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.5}
231.90%;-102.28%;26.87%;-1.065;{'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
231.86%;-102.32%;21.86%;-2.123;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
231.84%;-102.34%;21.84%;-0.983;{'roe': 0.1, 'fcfy': 0.1, 'dividend_yield': 0.8}
231.72%;-102.46%;19.67%;0.021;{'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.6}
231.61%;-102.57%;23.17%;-0.312;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
231.55%;-102.63%;18.97%;-1.13;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'dividend_yield': 0.3}
231.25%;-102.93%;24.10%;-1.538;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
231.17%;-103.00%;18.82%;-0.626;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
231.04%;-103.13%;19.70%;-0.539;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
230.81%;-103.36%;20.95%;-0.961;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
230.73%;-103.45%;22.30%;-1.374;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
230.67%;-103.50%;21.84%;-0.312;{'roe': 0.2, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.3}
230.64%;-103.54%;20.35%;-0.657;{'fcfy': 0.3, 'roic_wacc': 0.3, 'dividend_yield': 0.4}
230.46%;-103.71%;29.06%;-0.783;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
230.44%;-103.73%;19.77%;-0.079;{'roe': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
230.43%;-103.75%;25.89%;-0.46;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.3}
230.32%;-103.86%;19.52%;-0.83;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.5}
230.08%;-104.10%;19.52%;-0.737;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
229.87%;-104.30%;23.88%;-1.737;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.3}
229.49%;-104.68%;19.72%;-1.336;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'dividend_yield': 0.3}
229.49%;-104.69%;20.59%;-0.974;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'dividend_yield': 0.1}
229.39%;-104.79%;21.08%;-0.897;{'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
229.29%;-104.88%;19.28%;-0.429;{'fcfy': 0.2, 'roic_wacc': 0.5, 'dividend_yield': 0.3}
229.17%;-105.00%;19.23%;-0.61;{'roe': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.2}
229.01%;-105.17%;24.93%;-0.627;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
228.98%;-105.20%;22.46%;-0.363;{'roe': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
228.91%;-105.27%;22.25%;-0.998;{'fcfy': 0.1, 'dividend_yield': 0.9}
228.91%;-105.27%;18.89%;-1.163;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.2, 'dividend_yield': 0.2}
228.75%;-105.42%;25.18%;-0.303;{'revenue_growth': 0.3, 'dividend_yield': 0.7}
228.45%;-105.72%;27.91%;0.255;{'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.5}
