10 year total return;Excess return (over index);Volatility (as st. dev. of annual returns);Information ratio;Parameters and weights
322.68%;-11.50%;26.59%;-1.991;{'fcfy': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
322.63%;-11.55%;29.97%;-0.606;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
321.46%;-12.71%;20.52%;0.059;{'roe': 0.2, 'fcfy': 0.3, 'dividend_yield': 0.5}
321.38%;-12.79%;26.86%;-1.848;{'fcfy': 0.6, 'revenue_growth': 0.4}
321.15%;-13.03%;25.57%;-1.837;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
321.12%;-13.05%;23.38%;-1.041;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
320.34%;-13.84%;28.25%;-0.684;{'fcfy': 0.5, 'dividend_yield': 0.5}
319.81%;-14.37%;18.04%;0.745;{'roe': 0.1, 'roic_wacc': 0.9}
319.79%;-14.39%;29.48%;-0.343;{'roe': 0.4, 'revenue_growth': 0.6}
319.64%;-14.53%;19.95%;0.225;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
319.23%;-14.94%;19.99%;-0.431;{'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
319.06%;-15.11%;22.58%;-1.733;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
318.99%;-15.19%;27.66%;-1.673;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
318.80%;-15.37%;20.12%;-0.684;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
318.07%;-16.10%;32.46%;0.054;{'roe': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
317.85%;-16.32%;21.10%;-0.156;{'roe': 0.4, 'fcfy': 0.2, 'roic_wacc': 0.4}
317.79%;-16.39%;20.08%;0.107;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
317.77%;-16.40%;31.42%;-0.238;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
317.49%;-16.68%;21.65%;-0.059;{'roic_wacc': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
317.33%;-16.85%;27.09%;-0.4;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
316.75%;-17.42%;25.22%;-1.847;{'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
316.64%;-17.54%;19.70%;0.195;{'roe': 0.6, 'roic_wacc': 0.4}
316.56%;-17.61%;18.54%;-1.067;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.3}
316.39%;-17.78%;27.22%;-0.537;{'fcfy': 0.3, 'revenue_growth': 0.7}
316.15%;-18.03%;22.29%;0.078;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
316.12%;-18.05%;30.21%;-2.133;{'roe': 0.1, 'fcfy': 0.7, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
315.82%;-18.36%;25.68%;-1.225;{'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
315.38%;-18.80%;20.78%;0.445;{'roic_wacc': 0.8, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
315.37%;-18.80%;28.05%;-0.628;{'fcfy': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
