10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
283.60%;144.03%;9.41%;0.904;0.104;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
283.17%;143.59%;24.76%;1.012;0.245;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
282.96%;143.39%;26.46%;0.946;0.28;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.3}
282.28%;142.70%;41.06%;1.025;0.4;{'roe': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
282.22%;142.65%;4.72%;0.928;0.051;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
281.75%;142.18%;21.11%;0.924;0.228;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
281.64%;142.07%;33.79%;0.994;0.34;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.1}
281.48%;141.91%;35.36%;0.946;0.374;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
281.20%;141.63%;17.10%;0.961;0.178;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.6}
280.62%;141.05%;37.67%;0.976;0.386;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1}
280.62%;141.04%;10.21%;0.905;0.113;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
280.38%;140.81%;-1.49%;0.915;-0.016;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
280.06%;140.48%;51.95%;0.953;0.545;{'fcfy': 0.3, 'roic_wacc': 0.6, 'dividend_yield': 0.1}
