10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
305.54%;165.96%;54.00%;0.961;0.562;{'fcfy': 0.2, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
305.39%;165.81%;22.69%;1.041;0.218;{'roe': 0.2, 'fcfy': 0.3, 'revenue_growth': 0.5}
305.25%;165.67%;30.79%;0.988;0.311;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
305.18%;165.60%;46.99%;1;0.47;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
305.17%;165.60%;22.25%;0.992;0.224;{'roe': 0.1, 'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
305.14%;165.57%;33.54%;1.004;0.334;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
304.98%;165.41%;43.31%;0.949;0.456;{'roe': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
304.54%;164.97%;38.36%;1.034;0.371;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3}
304.19%;164.61%;27.57%;0.984;0.28;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
304.08%;164.51%;7.18%;0.987;0.073;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.6}
303.63%;164.05%;26.13%;0.996;0.262;{'roe': 0.4, 'revenue_growth': 0.6}
303.58%;164.01%;14.70%;1.048;0.14;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
303.34%;163.77%;34.42%;0.972;0.354;{'roic_wacc': 0.7, 'revenue_growth': 0.3}
303.26%;163.68%;32.35%;1.019;0.318;{'roe': 0.3, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.2}
302.91%;163.34%;8.83%;0.967;0.091;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5}
302.55%;162.98%;33.41%;1.006;0.332;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
302.46%;162.89%;15.34%;1.045;0.147;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.8}
302.33%;162.75%;43.38%;0.958;0.453;{'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
302.32%;162.75%;41.13%;1.01;0.407;{'roe': 0.3, 'roic_wacc': 0.7}
301.51%;161.94%;14.68%;0.966;0.152;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
300.48%;160.90%;25.46%;0.996;0.256;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
300.20%;160.63%;44.48%;1.021;0.436;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
299.97%;160.39%;13.35%;0.947;0.141;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
299.89%;160.31%;15.80%;1.044;0.151;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
299.85%;160.28%;34.84%;1.053;0.331;{'roe': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
299.78%;160.20%;46.01%;1.143;0.402;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.2}
299.71%;160.14%;45.35%;0.97;0.467;{'fcfy': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
299.12%;159.54%;14.13%;1.015;0.139;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.7}
298.91%;159.34%;47.47%;1.05;0.452;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
298.81%;159.24%;23.84%;1.042;0.229;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
298.52%;158.94%;46.03%;1.062;0.433;{'roe': 0.4, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.2}
298.40%;158.83%;39.58%;0.952;0.416;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.7}
297.56%;157.98%;10.57%;0.951;0.111;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.5}
297.44%;157.86%;15.46%;1.009;0.153;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
296.83%;157.26%;41.25%;0.94;0.439;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.7}
296.55%;156.97%;44.06%;0.975;0.452;{'roic_wacc': 0.8, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
296.49%;156.91%;14.91%;0.951;0.157;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.4}
296.41%;156.84%;33.75%;1.02;0.331;{'roe': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
296.17%;156.59%;43.54%;1.043;0.418;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
296.06%;156.48%;52.67%;1.017;0.518;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
295.79%;156.22%;45.78%;0.949;0.483;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
295.53%;155.96%;12.15%;1.039;0.117;{'roe': 0.2, 'fcfy': 0.2, 'revenue_growth': 0.6}
295.28%;155.71%;36.11%;1.035;0.349;{'roe': 0.5, 'revenue_growth': 0.5}
294.74%;155.17%;23.97%;0.988;0.243;{'roe': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
294.72%;155.15%;44.28%;1.079;0.411;{'roe': 0.5, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
293.68%;154.10%;37.74%;1.047;0.36;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
293.25%;153.67%;47.49%;0.959;0.495;{'roe': 0.1, 'roic_wacc': 0.8, 'revenue_growth': 0.1}
293.02%;153.45%;45.84%;0.925;0.495;{'roic_wacc': 0.9, 'dividend_yield': 0.1}
292.21%;152.63%;44.34%;0.997;0.445;{'roe': 0.6, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
291.86%;152.28%;4.74%;0.973;0.049;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
291.84%;152.26%;25.12%;0.928;0.271;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
291.81%;152.23%;48.82%;0.977;0.5;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
291.76%;152.19%;10.09%;0.997;0.101;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
291.72%;152.15%;37.51%;0.994;0.378;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
291.67%;152.09%;46.04%;0.928;0.496;{'roe': 0.2, 'revenue_growth': 0.1, 'dividend_yield': 0.7}
291.35%;151.77%;49.04%;0.954;0.514;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.4, 'dividend_yield': 0.1}
291.05%;151.48%;28.42%;1.015;0.28;{'roe': 0.1, 'fcfy': 0.5, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
290.71%;151.13%;2.67%;0.921;0.029;{'roic_wacc': 0.4, 'revenue_growth': 0.6}
290.66%;151.09%;47.18%;1.044;0.452;{'roe': 0.1, 'fcfy': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
290.20%;150.62%;19.22%;0.996;0.193;{'roe': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
289.70%;150.13%;6.87%;0.947;0.073;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
289.47%;149.89%;39.28%;1.013;0.388;{'roe': 0.3, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
289.47%;149.89%;29.60%;0.984;0.301;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
289.39%;149.81%;12.10%;0.94;0.129;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
289.38%;149.81%;34.06%;0.975;0.349;{'roe': 0.5, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
289.15%;149.58%;14.82%;0.893;0.166;{'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
289.12%;149.54%;0.57%;0.996;0.006;{'fcfy': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
289.11%;149.54%;11.78%;0.945;0.125;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
289.02%;149.45%;6.13%;0.966;0.063;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
288.71%;149.14%;27.41%;0.973;0.282;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
288.48%;148.90%;31.13%;0.923;0.337;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
288.11%;148.54%;57.00%;0.997;0.571;{'roe': 0.2, 'fcfy': 0.5, 'dividend_yield': 0.3}
287.95%;148.38%;32.89%;0.902;0.365;{'roe': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
287.64%;148.07%;24.48%;0.932;0.263;{'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
287.62%;148.04%;10.55%;0.966;0.109;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
287.28%;147.71%;18.54%;0.889;0.209;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
