244.9606799890931 %;{'roe': 0.6, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
602.0032557523355 %;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
283.99366014290894 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.4, 'dividend_yield': 0.2}
387.0981420931055 %;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
275.65030658587364 %;{'roe': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.4}
239.89306148680316 %;{'roe': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.4}
693.2556039177429 %;{'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.7}
318.86644840137103 %;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.2}
367.9160042853171 %;{'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.2}
272.22240684384695 %;{'fcfy': 0.4, 'roic_wacc': 0.3, 'dividend_yield': 0.3}
307.5841317346274 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'dividend_yield': 0.4}
276.7768073284506 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
478.9634276899335 %;{'roic_wacc': 0.2, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
264.18903388164773 %;{'roe': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
294.6673442126247 %;{'fcfy': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
350.5120389053657 %;{'roic_wacc': 0.7, 'revenue_growth': 0.3}
408.5347526313642 %;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
302.83053846969796 %;{'roic_wacc': 0.7, 'dividend_yield': 0.3}
167.02612784091687 %;{'revenue_growth': 0.7, 'dividend_yield': 0.3}
288.1618383752994 %;{'roe': 0.1, 'roic_wacc': 0.1, 'dividend_yield': 0.8}
329.7938817004218 %;{'roe': 0.1, 'revenue_growth': 0.1, 'dividend_yield': 0.8}
355.2614435138313 %;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
299.24029856346897 %;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.3, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
325.99628333696654 %;{'roe': 0.2, 'fcfy': 0.6, 'roic_wacc': 0.1, 'revenue_growth': 0.1}
335.53938442163485 %;{'roe': 0.4, 'fcfy': 0.4, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
310.50692681411334 %;{'roe': 0.1, 'fcfy': 0.6, 'roic_wacc': 0.2, 'dividend_yield': 0.1}
432.8411921174178 %;{'roe': 0.1, 'fcfy': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
361.5801469705483 %;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.1, 'revenue_growth': 0.4}
262.29992072486124 %;{'roe': 0.4, 'fcfy': 0.4, 'roic_wacc': 0.1, 'dividend_yield': 0.1}
228.85893515837293 %;{'roe': 0.7, 'roic_wacc': 0.3}
308.75426077108267 %;{'roe': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.4, 'dividend_yield': 0.1}
313.1279883186788 %;{'roe': 0.4, 'roic_wacc': 0.2, 'revenue_growth': 0.4}
256.09191083543226 %;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
