10 year total return;Excess return (over SIXPRX);Average (daily) excess return;Volatility;Information ratio;Parameters and weights
344.263 %;204.688 %; 43.540 %;  1.103;  0.395;{'roe': 0.1, 'fcfy': 0.3, 'revenue_growth': 0.6}
343.668 %;204.093 %; 41.814 %;  1.064;  0.393;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.1}
343.247 %;203.672 %; 41.611 %;  1.058;  0.393;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
342.574 %;202.999 %; 40.683 %;  1.095;  0.372;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.3, 'revenue_growth': 0.3}
341.987 %;202.412 %; 45.653 %;  1.099;  0.415;{'fcfy': 0.1, 'roic_wacc': 0.9}
340.582 %;201.008 %; 25.664 %;  1.072;  0.239;{'roe': 0.2, 'roic_wacc': 0.2, 'revenue_growth': 0.6}
339.685 %;200.110 %; 53.945 %;  1.192;  0.452;{'roe': 0.3, 'fcfy': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
339.600 %;200.025 %; 41.835 %;  1.052;  0.398;{'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
338.769 %;199.194 %; 39.592 %;  1.048;  0.378;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
337.951 %;198.377 %; 39.847 %;  1.016;  0.392;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
337.755 %;198.181 %; 46.348 %;  1.081;  0.429;{'roic_wacc': 0.6, 'revenue_growth': 0.4}
337.429 %;197.854 %; 42.332 %;  1.098;  0.386;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.1}
335.922 %;196.347 %; 39.568 %;  1.020;  0.388;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
335.745 %;196.170 %; 25.704 %;  1.070;  0.240;{'roic_wacc': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
335.434 %;195.859 %; 42.480 %;  1.030;  0.412;{'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.5}
335.238 %;195.663 %; 43.958 %;  1.093;  0.402;{'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
334.963 %;195.388 %; 31.007 %;  1.058;  0.293;{'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.2}
334.892 %;195.318 %; 53.279 %;  1.189;  0.448;{'roe': 0.2, 'fcfy': 0.4, 'revenue_growth': 0.4}
334.104 %;194.529 %; 44.453 %;  1.104;  0.403;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
333.955 %;194.380 %; 46.524 %;  1.118;  0.416;{'roe': 0.1, 'fcfy': 0.4, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
333.705 %;194.131 %; 42.788 %;  1.148;  0.373;{'fcfy': 0.5, 'revenue_growth': 0.5}
333.180 %;193.605 %; 42.700 %;  1.069;  0.399;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.1, 'dividend_yield': 0.2}
333.123 %;193.548 %; 43.661 %;  1.071;  0.408;{'fcfy': 0.1, 'roic_wacc': 0.8, 'dividend_yield': 0.1}
332.960 %;193.385 %; 44.554 %;  1.119;  0.398;{'roe': 0.2, 'fcfy': 0.1, 'revenue_growth': 0.7}
332.870 %;193.295 %; 43.895 %;  1.080;  0.406;{'roe': 0.1, 'fcfy': 0.2, 'revenue_growth': 0.5, 'dividend_yield': 0.2}
332.643 %;193.068 %; 40.314 %;  1.039;  0.388;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.6}
332.610 %;193.036 %; 38.959 %;  1.072;  0.364;{'roe': 0.4, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
332.492 %;192.918 %; 41.362 %;  1.050;  0.394;{'fcfy': 0.3, 'roic_wacc': 0.6, 'revenue_growth': 0.1}
332.289 %;192.714 %; 37.402 %;  1.049;  0.357;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.5, 'revenue_growth': 0.3}
332.032 %;192.457 %; 35.794 %;  1.064;  0.336;{'fcfy': 0.2, 'revenue_growth': 0.6, 'dividend_yield': 0.2}
331.626 %;192.051 %; 39.202 %;  1.058;  0.371;{'fcfy': 0.2, 'roic_wacc': 0.6, 'revenue_growth': 0.2}
331.198 %;191.623 %; 53.741 %;  1.080;  0.497;{'roe': 0.3, 'roic_wacc': 0.7}
331.061 %;191.487 %; 45.659 %;  1.049;  0.435;{'roic_wacc': 0.7, 'revenue_growth': 0.3}
330.469 %;190.895 %; 45.241 %;  1.080;  0.419;{'fcfy': 0.5, 'roic_wacc': 0.3, 'revenue_growth': 0.2}
329.959 %;190.384 %; 44.317 %;  1.095;  0.405;{'fcfy': 0.1, 'roic_wacc': 0.6, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
329.938 %;190.363 %; 43.449 %;  1.089;  0.399;{'fcfy': 0.4, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
329.113 %;189.538 %; 43.542 %;  1.081;  0.403;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.5, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
328.376 %;188.801 %; 40.150 %;  1.059;  0.379;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
327.625 %;188.050 %; 48.512 %;  1.149;  0.422;{'roe': 0.6, 'fcfy': 0.1, 'revenue_growth': 0.3}
327.552 %;187.977 %; 37.314 %;  1.013;  0.368;{'roe': 0.1, 'fcfy': 0.2, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
327.531 %;187.956 %; 38.411 %;  1.016;  0.378;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7}
327.220 %;187.645 %; 50.047 %;  1.094;  0.458;{'fcfy': 0.5, 'roic_wacc': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
326.481 %;186.906 %; 40.060 %;  1.048;  0.382;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.7, 'dividend_yield': 0.1}
326.228 %;186.654 %; 40.149 %;  1.069;  0.376;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
325.609 %;186.034 %; 42.354 %;  1.062;  0.399;{'fcfy': 0.1, 'roic_wacc': 0.7, 'revenue_growth': 0.1, 'dividend_yield': 0.1}
325.253 %;185.679 %; 59.994 %;  1.223;  0.491;{'roe': 0.3, 'fcfy': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
324.572 %;184.997 %; 52.586 %;  1.051;  0.500;{'roe': 0.2, 'roic_wacc': 0.8}
323.307 %;183.732 %; 39.297 %;  1.029;  0.382;{'fcfy': 0.1, 'roic_wacc': 0.3, 'revenue_growth': 0.3, 'dividend_yield': 0.3}
323.089 %;183.514 %; 58.036 %;  1.203;  0.482;{'roe': 0.3, 'fcfy': 0.2, 'revenue_growth': 0.3, 'dividend_yield': 0.2}
323.023 %;183.448 %; 41.195 %;  1.031;  0.400;{'fcfy': 0.3, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
321.483 %;181.908 %; 45.356 %;  1.063;  0.427;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.4, 'dividend_yield': 0.2}
321.127 %;181.552 %; 47.648 %;  1.066;  0.447;{'fcfy': 0.5, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
319.873 %;180.299 %; 23.137 %;  1.027;  0.225;{'roe': 0.3, 'roic_wacc': 0.1, 'revenue_growth': 0.6}
319.702 %;180.127 %; 40.918 %;  1.041;  0.393;{'fcfy': 0.2, 'roic_wacc': 0.7, 'revenue_growth': 0.1}
319.615 %;180.040 %; 40.274 %;  1.045;  0.385;{'roe': 0.2, 'fcfy': 0.3, 'roic_wacc': 0.2, 'revenue_growth': 0.3}
319.595 %;180.020 %; 44.745 %;  1.118;  0.400;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.8}
319.494 %;179.919 %; 38.254 %;  1.044;  0.366;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.2}
319.056 %;179.481 %; 38.464 %;  1.044;  0.369;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.4, 'revenue_growth': 0.2}
319.024 %;179.449 %; 35.333 %;  0.963;  0.367;{'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
318.977 %;179.402 %; 38.144 %;  1.025;  0.372;{'roe': 0.1, 'fcfy': 0.3, 'roic_wacc': 0.5, 'revenue_growth': 0.1}
318.634 %;179.059 %; 39.572 %;  1.040;  0.380;{'roe': 0.1, 'fcfy': 0.1, 'roic_wacc': 0.8}
318.423 %;178.848 %; 51.760 %;  1.152;  0.449;{'roe': 0.5, 'fcfy': 0.1, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
318.415 %;178.841 %; 34.798 %;  0.981;  0.355;{'roe': 0.3, 'fcfy': 0.1, 'roic_wacc': 0.1, 'revenue_growth': 0.5}
318.239 %;178.664 %; 40.574 %;  1.040;  0.390;{'roe': 0.2, 'fcfy': 0.2, 'roic_wacc': 0.6}
317.965 %;178.390 %; 46.696 %;  1.039;  0.449;{'roic_wacc': 0.6, 'revenue_growth': 0.3, 'dividend_yield': 0.1}
317.875 %;178.300 %; 38.509 %;  1.023;  0.377;{'roe': 0.2, 'fcfy': 0.1, 'roic_wacc': 0.7}
317.858 %;178.283 %; 43.610 %;  1.080;  0.404;{'roe': 0.1, 'fcfy': 0.1, 'revenue_growth': 0.7, 'dividend_yield': 0.1}
317.831 %;178.256 %; 55.124 %;  1.176;  0.469;{'roe': 0.3, 'fcfy': 0.4, 'revenue_growth': 0.2, 'dividend_yield': 0.1}
