Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
Alligator Bioscience;Sverige;Mid Cap;Hälsovård;Bioteknik;ATORX;Aktier;Q1-2018;;;;;-26.42226;40.69721;3.966578;1809.732;83139.76;-0.1082745;;;-1.376622;;;;-130.7013;2284.416;71.388;-1.2111;0.001701421;33.9663
ALM Equity Pref;Sverige;First North;Finans & Fastighet;Fastigheter;ALM PREF;Pref;Q4-2017;-0.1906615;-0.1130064;8.4;8.4;;;;104;9713.76;;;;;;;;;104;1;;;11.37068
ALM Equtiy;Sverige;First North;Finans & Fastighet;Fastigheter;ALM;Aktier;Q1-2018;3.669603;0.2045455;1.2;1.2;9.910015;0.8721678;1.000228;3665.698;559.78;0.1215744;0.143537;0.1474681;0.09978797;0.3419848;0.1092255;-459.1832;-603.276;2152.86;10.155;21.3925;4.86E-05;24.97977
Alm. Brand;Denmark;Large Cap;Finans & Fastighet;Bank;ALMB;Aktier;Q1-2018;2.385417;0.4508929;;3.666667;13.89126;1.356428;2.159795;11181.54;232104;0.159543;;;0.02312979;;0.1560371;;1684.667;10779.54;165.839;4.6792;0.001432124;23.62368
Alma Media;Finland;Mid Cap;Sällanköpsvaror;Media;ALMA;Aktier;Q1-2018;1.305195;1.358804;0.176;0.2133333;17.51357;1.568148;4.605664;634.8193;39411.55;0.1820155;0.1519806;0.1090864;0.1373503;0.1532864;0.4643756;29.48;33.8;584.9193;82.383;0.4054;0.000261293;32.07295
Alphahelix;Sverige;Aktietorget;Hälsovård;Sjukvård;ALPH;Aktier;Q1-2018;1.709091;-0.04385027;;;-17.63314;2.34401;14.96098;46.92481;20443.35;-0.2841146;-0.1943719;-0.1926079;-0.2688294;;;0.814;0.927;47.23181;52.832;-0.0507;0.000421484;111.8345
Alteco Medical;Sverige;Aktietorget;Hälsovård;Läkemedel;ALTE;Aktier;Q1-2018;;-0.7443038;;;-3.183107;9.799089;2.406533;31.10493;37887.7;-0.6004137;-0.7982714;-1.805705;-1.700723;;;-10.0556;-9.902333;45.94793;45.493;-0.3173;0.001115366;109.8844
Altia;Finland;Mid Cap;Dagligvaror;Livsmedel;ALTIA;Aktier;Q4-2017;;;;;17.43038;0.8683243;2.3314;366.6355;;0.1432785;;;0.1154122;;;;27.83333;318.9355;36.14;0.5063;;
Alzinova;Sverige;Aktietorget;Hälsovård;Bioteknik;ALZ;Aktier;Q1-2018;;;;;-38.6143;11.46162;3.359558;81.686;8211.41;-0.08842216;-0.1467739;-0.4443522;-0.2515093;;;-6.0202;-8.118667;95.865;5.478;-0.4532;0.001536966;57.91844
Amasten;Sverige;First North;Finans & Fastighet;Fastigheter;AMAST;Aktier;Q1-2018;-0.1204546;0.4072727;;;12.2005;2.088449;0.6160625;2429.242;193420.1;0.08524212;0.08269843;0.03241767;0.03262091;;-0.1849769;-233.5376;-281.5633;578.4063;149.459;0.3172;0.000847373;28.58781
