"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Utdelning";"P/E";"P/S";"P/B";"EV";"ROIC";"Antal Aktier";"ROE";"Vinst/Aktie";"FCF";"Vinsttillväxt";"Börsvärde"
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  5 år";"Snitt 5 år";"Senaste";"Senaste";"Senaste";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"Senaste";"Snitt 5 år";"År. tillv. 5 år";"Senaste"
"Ambia Trading";"Sverige";"Aktietorget";"Industri";"Handel & Distribution";"AMBI";"Aktier";"Q4-2017";"";"";16.38563;0.04948644;1.874642;88.9716;0.06002688;2.593;0.07874053;1.0497;-10.4114;0.3836268;44.5996
"Ambu";"Denmark";"Large Cap";"Hälsovård";"Sjukvård";"AMBU B";"Aktier";"Q2-2018";19.24665;"";163.082;18.75977;26.31774;46902.28;"";241.85;"";1.1577;"";"";45661.28
"Amer Sports";"Finland";"Large Cap";"Sällanköpsvaror";"Konsument";"AMEAS";"Aktier";"Q1-2018";0.9689484;0.604;32.6354;1.212998;3.870423;3727.49;0.07262753;115.1;0.1087919;0.8549;78.84;0.0232743;3211.29
"American Shipping";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"AMSC";"Aktier";"Q4-2017";0.6668981;2.46856;20.67022;2.307117;1.1051;6217.812;0.0207254;60.616;0.1348434;1.2772;357.695;"";1600.262
"Amhult 2";"Sverige";"Aktietorget";"Finans & Fastighet";"Fastigheter";"AMH2 B";"Aktier";"Q1-2018";1.961255;"";8.6448;15.28884;0.9459891;447.4698;0.1221034;6.847;0.1338746;8.2593;-10.7506;"";488.8758
"Amnode";"Sverige";"Aktietorget";"Industri";"Produktion";"AMNO";"Aktier";"Q1-2018";"";"";-0.4088586;0.1023126;0.4114349;28.82621;-0.5110301;158.171;-0.6488609;-0.1174;-7.543;"";7.592208
"Andersen & Martini";"Denmark";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"AM B";"Aktier";"Q4-2017";1.043189;"";2.606871;0.1386086;1.414879;244.2795;"";2.081;"";23.5915;"";"";127.9815
"Angler Gaming";"Sverige";"Aktietorget";"Sällanköpsvaror";"Betting & Spel";"ANGL";"Aktier";"Q1-2018";6.186115;0.17296;10.74663;5.290092;9.000689;675.0159;0.6003152;74.464;0.1517006;0.9054;12.03968;"";724.5347
"Annexin";"Sverige";"First North";"Hälsovård";"Bioteknik";"ANNX";"Aktier";"Q1-2018";"";"";-0.7268366;"";1.527212;18.359;"";5.9;"";-5.5033;"";"";23.6
"Anoto";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"ANOT";"Aktier";"Q1-2018";-0.8902343;"";-43.58683;2.594358;1.244522;400.1477;-0.5269675;105.108;-0.5459455;-0.0881;-155.812;"";403.6147
